track_name,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,mode,energy,instrumentalness,liveness,speechiness
Seven (feat. Latto) (Explicit Ver.),2023,553,147.0,141381703,43,263.0,125,Major,83,0,8,4
LALA,2023,1474,48.0,133716286,48,126.0,92,Major,74,0,10,4
vampire,2023,1397,113.0,140003974,94,207.0,138,,53,0,31,6
Cruel Summer,2019,7858,,800840817,116,207.0,170,Major,72,0,11,15
WHERE SHE GOES,2023,3133,50.0,303236322,84,133.0,144,Minor,80,63,11,6
Sprinter,2023,2186,91.0,183706234,67,213.0,141,Major,58,0,8,24
Ella Baila Sola,2023,3090,50.0,725980112,34,222.0,148,Minor,76,0,8,3
Columbia,2023,714,43.0,58149378,25,89.0,100,Major,71,0,11,4
fukumean,2023,1096,83.0,95217315,60,210.0,130,Minor,62,0,28,9
La Bebe - Remix,2023,2953,44.0,553634067,49,,170,Minor,48,0,8,33
un x100to,2023,2876,40.0,505671438,41,205.0,83,Minor,72,0,27,5
Super Shy,2023,422,,58255150,37,202.0,150,Minor,82,0,15,7
Flowers,2023,12211,115.0,1316855716,300,215.0,118,Major,68,0,3,7
Daylight,2023,3528,98.0,387570742,80,156.0,130,Minor,43,0,9,3
As It Was,2022,23575,130.0,2513188493,403,,174,Minor,73,0,31,6
Kill Bill,2022,8109,77.0,1163093654,183,162.0,89,Major,73,17,16,4
Cupid - Twin Ver.,2023,2942,77.0,496795686,91,212.0,120,Minor,59,0,34,3
"What Was I Made For? [From The Motion Picture ""Barbie""]",2023,873,104.0,30546883,80,227.0,78,Major,9,0,10,3
Classy 101,2023,2610,40.0,335222234,43,100.0,100,Major,66,0,12,16
Like Crazy,2023,596,68.0,363369738,8,104.0,120,Major,73,0,36,4
LADY GAGA,2023,332,26.0,86444842,11,163.0,140,Minor,74,0,42,4
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,2023,516,38.0,52135248,73,119.0,123,Major,76,0,6,3
I Wanna Be Yours,2013,12859,110.0,1297026226,24,98.0,135,Minor,42,2,11,3
"Peso Pluma: Bzrp Music Sessions, Vol. 55",2023,1313,40.0,200647221,17,152.0,133,Minor,67,0,12,5
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),2023,1945,87.0,115364561,74,182.0,99,Major,68,0,36,20
SABOR FRESA,2023,250,26.0,78300654,16,149.0,130,Minor,86,0,9,9
Calm Down (with Selena Gomez),2022,7112,77.0,899183384,202,119.0,107,Major,80,0,14,4
MOJABI GHOST,2023,859,40.0,61245289,35,109.0,122,Minor,71,0,56,4
Last Night,2023,2420,19.0,429829812,52,107.0,204,Major,68,0,15,4
Dance The Night (From Barbie The Album),2023,2988,101.0,127408954,0,0.0,110,Minor,85,0,33,5
Rush,2023,864,78.0,22581161,71,135.0,126,Minor,84,0,11,6
TULUM,2023,266,34.0,52294266,20,185.0,168,Major,87,0,11,5
